name,outer,inner,N,nnz,coo_sd,coo_mflops,coo_sum,coo_l1,coo_l2,coo_l3,coo_bp,csr_sd,csr_mflops,csr_sum,csr_l1,csr_l2,csr_l3,csr_bp,dia_sd,dia_mflops,dia_sum,dia_l1,dia_l2,dia_l3,dia_bp,ell_sd,ell_mflops,ell_sum,ell_l1,ell_l2,ell_l3,ell_bp
g7jac080sc,30,500,23670,259648,206.046100,1128.55,20257,1231835496,55830020,826,0,413.500135,2264.81,20257,906379897,49015293,573,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac120sc,30,500,35550,412306,202.388114,1108.52,58549,1998516834,88873733,2581,0,413.800594,2266.43,58549,1498728592,89968179,2097,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mark3jac080,30,500,36609,214643,272.275251,1491.3,7272,839098799,58061254,597,0,415.048330,2272.04,7272,593486712,47411736,636,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac040sc,30,500,11790,107383,220.687588,1208.4,49374,459202950,23932005,211,0,402.963569,2204.28,49374,311584434,19001555,36,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jan99jac080,30,500,27534,151063,261.848180,1434.17,58984,638517637,47010022,241,0,391.729968,2145.52,58984,451254150,36465073,85,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac040,30,500,11790,107383,220.839983,1209.36,24975,459377387,23932448,85,0,404.750877,2216.84,24975,311857886,19017922,31,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mark3jac060sc,30,500,27449,160723,273.583855,1498.43,46905,625620401,45796106,379,0,412.355853,2258.35,46905,443193817,34714677,155,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jan99jac020sc,30,5000,6774,33744,263.591998,1442.56,11233,1189167103,77632913,65,0,350.459881,1919.09,11233,889021456,49279924,30,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mark3jac140sc,30,500,64089,376395,252.427859,1382.6,21621,1476920708,97885680,1787,0,393.199439,2153.56,21621,1034221619,84468090,1856,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
jan99jac040sc,30,1000,13694,72734,264.137748,1446.33,60553,591697350,44769032,61,0,374.637286,2051.91,60553,420120578,33168915,29,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mark3jac080sc,30,500,36609,214643,271.755851,1488.44,39697,839486732,57642251,478,0,413.955794,2267.25,39697,593344213,44989918,753,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac200sc,30,500,59310,717620,192.549956,1054.64,53320,3538099841,189018028,13776151,0,407.598973,2232.5,53320,2673006161,172050429,7975,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mark3jac120sc,30,500,54929,322483,252.310371,1381.95,59385,1263954908,84785754,1074,0,396.924030,2174.01,59385,884819251,71579582,1688,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac180,30,500,53370,641290,195.361980,1070.04,61492,3159632893,136734608,31358,0,401.813912,2200.81,61492,2368111315,195746651,7048822,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
g7jac120,30,500,35550,412306,202.330904,1108.21,59726,1998495040,95309802,3448,0,415.680053,2276.74,59726,1498464451,79033553,2082,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mark3jac120,30,500,54929,322483,252.453595,1382.74,14300,1264964594,83946155,1638,0,395.663254,2166.33,14300,885350604,70724602,1324,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
